,nad,folinic_acid,coa,nucleo_mix,spermidin,pga,aa,trna,mg_gluta,camp,K_gluta,yield,yield_std
0,0.165,0.0204,0.078,0.75,0.3,9,0.45,0.02,1.2,0.375,40,0.0,0.0131
1,0.33,0.068,0.26,1.5,1.0,30,1.5,0.2,0.4,0.75,80,0.0,0.0095
2,0.33,0.068,0.26,0.15,1.0,30,1.5,0.2,4.0,0.75,80,0.0,0.077
3,0.33,0.068,0.26,0.45,1.0,30,1.5,0.2,4.0,0.75,80,0.0,0.094
4,0.33,0.068,0.26,1.5,1.0,30,0.15,0.2,4.0,0.75,80,0.0147,0.0233
5,0.165,0.0068,0.13,0.15,0.1,9,0.75,0.1,2.0,0.225,24,0.0163,0.0113
6,0.033,0.0068,0.078,0.45,0.5,3,0.45,0.02,2.0,0.375,24,0.0222,0.1364
7,0.165,0.0068,0.026,0.15,0.1,9,0.15,0.02,0.4,0.375,24,0.0263,0.0091
8,0.33,0.068,0.26,1.5,0.1,30,1.5,0.2,4.0,0.75,80,0.0354,0.063
9,0.033,0.0204,0.026,0.15,0.1,15,0.15,0.02,2.0,0.225,24,0.047,0.0115
10,0.033,0.0068,0.026,0.45,0.5,9,0.45,0.06,2.0,0.075,24,0.0499,0.0239
11,0.33,0.068,0.26,1.5,1.0,30,1.5,0.2,4.0,0.75,80,0.0563,0.0191
12,0.099,0.0204,0.026,0.15,0.5,9,0.45,0.06,2.0,0.075,8,0.0587,0.1045
13,0.165,0.034,0.026,0.15,0.5,9,0.75,0.06,0.4,0.375,8,0.0826,0.0325
14,0.033,0.034,0.078,0.15,0.1,9,0.15,0.02,1.2,0.225,40,0.0845,0.0708
15,0.165,0.0204,0.13,0.15,0.5,15,0.75,0.1,0.4,0.075,8,0.086,0.02
16,0.099,0.0204,0.13,0.15,0.1,9,0.45,0.02,0.4,0.075,24,0.1032,0.0387
17,0.099,0.0068,0.026,0.15,0.1,15,0.75,0.06,2.0,0.375,8,0.1106,0.0176
18,0.033,0.0068,0.13,0.15,0.3,9,0.15,0.1,2.0,0.075,40,0.1186,0.071
19,0.33,0.068,0.026,1.5,1.0,30,1.5,0.2,4.0,0.75,80,0.1503,0.1533
20,0.033,0.034,0.026,0.45,0.5,9,0.45,0.06,1.2,0.375,8,0.1625,0.1269
21,0.099,0.0068,0.078,0.15,0.3,3,0.45,0.1,0.4,0.375,40,0.1776,0.042
22,0.033,0.0204,0.078,0.15,0.5,9,0.45,0.06,2.0,0.225,24,0.18,0.1263
23,0.099,0.0204,0.078,0.15,0.3,15,0.75,0.1,1.2,0.075,24,0.183,0.0286
24,0.033,0.0068,0.13,0.45,0.5,3,0.45,0.06,2.0,0.225,40,0.1956,0.1906
25,0.33,0.068,0.26,1.5,1.0,30,1.5,0.2,4.0,0.75,8,0.1963,0.012
26,0.099,0.0068,0.13,0.75,0.5,9,0.75,0.02,1.2,0.375,8,0.2025,0.0062
27,0.033,0.0068,0.026,0.15,0.1,30,0.15,0.02,0.4,0.075,8,0.2039,0.0083
28,0.33,0.068,0.26,1.5,1.0,30,1.5,0.02,4.0,0.75,80,0.2066,0.1477
29,0.33,0.0068,0.26,1.5,1.0,30,1.5,0.2,4.0,0.75,80,0.2159,0.0913
30,0.33,0.068,0.26,1.5,1.0,30,1.5,0.2,4.0,0.075,80,0.222,0.0529
31,0.099,0.0068,0.13,0.75,0.3,9,0.75,0.1,0.4,0.375,8,0.2322,0.0176
32,0.165,0.0204,0.026,0.45,0.1,9,0.15,0.1,0.4,0.375,8,0.2418,0.0478
33,0.099,0.0204,0.026,0.45,0.1,9,0.45,0.02,0.4,0.075,8,0.2459,0.1262
34,0.165,0.034,0.13,0.45,0.1,3,0.75,0.06,1.2,0.375,24,0.25,0.0264
35,0.033,0.0204,0.13,0.75,0.5,15,0.45,0.02,0.4,0.225,8,0.2532,0.0505
36,0.033,0.0204,0.078,0.45,0.1,9,0.15,0.1,2.0,0.225,40,0.2605,0.0613
37,0.165,0.034,0.13,0.15,0.3,9,0.15,0.06,2.0,0.075,8,0.2625,0.0092
38,0.033,0.034,0.026,0.45,0.3,9,0.45,0.06,1.2,0.075,24,0.2677,0.2052
39,0.033,0.0204,0.026,0.45,0.5,9,0.45,0.06,1.2,0.225,24,0.2961,0.1997
40,0.033,0.068,0.26,1.5,1.0,30,1.5,0.2,4.0,0.75,80,0.3075,0.2236
41,0.033,0.0204,0.026,0.75,0.1,15,0.75,0.06,2.0,0.075,24,0.3126,0.0513
42,0.033,0.0068,0.026,0.75,0.5,3,0.75,0.06,1.2,0.075,8,0.3184,0.0252
43,0.033,0.0068,0.078,0.45,0.1,9,0.45,0.06,0.4,0.375,8,0.3186,0.0765
44,0.165,0.0204,0.078,0.45,0.3,9,0.45,0.1,0.4,0.225,24,0.3448,0.2362
45,0.165,0.034,0.078,0.15,0.1,3,0.75,0.1,1.2,0.075,8,0.3501,0.0866
46,0.033,0.0204,0.078,0.15,0.3,15,0.45,0.06,1.2,0.375,24,0.3568,0.1317
47,0.033,0.0068,0.026,0.15,0.5,15,0.45,0.02,1.2,0.375,8,0.3686,0.2002
48,0.033,0.0068,0.026,1.5,0.1,3,0.15,0.02,0.4,0.075,8,0.3701,0.0853
